FPGA LAYER_READ | col=1 | LLR_in=-10 | C2V_old=0 | V2C=-10 | V2C_shifted=-11
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=1 | V2C_shifted_buf=-11 | LLR_new_shifted=-10 | LLR_new_sat=-9
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=1 | V2C=-17 | V2C_shifted=-17
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-11 | V2C_shifted_buf=-17 | LLR_new_shifted=-28 | LLR_new_sat=-16
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-11 | V2C=-5 | V2C_shifted=-5
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-4 | V2C_shifted_buf=-5 | LLR_new_shifted=-9 | LLR_new_sat=-9
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-4 | V2C=-12 | V2C_shifted=-12
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-9 | V2C_shifted_buf=-12 | LLR_new_shifted=-21 | LLR_new_sat=-16
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-9 | V2C=-7 | V2C_shifted=-7
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-6 | V2C_shifted_buf=-7 | LLR_new_shifted=-13 | LLR_new_sat=-13
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-6 | V2C=-10 | V2C_shifted=-10
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-8 | V2C_shifted_buf=-10 | LLR_new_shifted=-18 | LLR_new_sat=-16
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-8 | V2C=-8 | V2C_shifted=-8
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-6 | V2C_shifted_buf=-8 | LLR_new_shifted=-14 | LLR_new_sat=-14
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-6 | V2C=-10 | V2C_shifted=-10
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-8 | V2C_shifted_buf=-10 | LLR_new_shifted=-18 | LLR_new_sat=-16
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-8 | V2C=-8 | V2C_shifted=-8
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-6 | V2C_shifted_buf=-8 | LLR_new_shifted=-14 | LLR_new_sat=-14
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-6 | V2C=-10 | V2C_shifted=-10
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-8 | V2C_shifted_buf=-10 | LLR_new_shifted=-18 | LLR_new_sat=-16
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-8 | V2C=-8 | V2C_shifted=-8
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-6 | V2C_shifted_buf=-8 | LLR_new_shifted=-14 | LLR_new_sat=-14
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-6 | V2C=-10 | V2C_shifted=-10
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-8 | V2C_shifted_buf=-10 | LLR_new_shifted=-18 | LLR_new_sat=-16
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-8 | V2C=-8 | V2C_shifted=-8
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-6 | V2C_shifted_buf=-8 | LLR_new_shifted=-14 | LLR_new_sat=-14
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-6 | V2C=-10 | V2C_shifted=-10
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-8 | V2C_shifted_buf=-10 | LLR_new_shifted=-18 | LLR_new_sat=-16
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-8 | V2C=-8 | V2C_shifted=-8
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-6 | V2C_shifted_buf=-8 | LLR_new_shifted=-14 | LLR_new_sat=-14
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-6 | V2C=-10 | V2C_shifted=-10
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-8 | V2C_shifted_buf=-10 | LLR_new_shifted=-18 | LLR_new_sat=-16
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-8 | V2C=-8 | V2C_shifted=-8
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-6 | V2C_shifted_buf=-8 | LLR_new_shifted=-14 | LLR_new_sat=-14
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-6 | V2C=-10 | V2C_shifted=-10
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-8 | V2C_shifted_buf=-10 | LLR_new_shifted=-18 | LLR_new_sat=-16
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-8 | V2C=-8 | V2C_shifted=-8
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-6 | V2C_shifted_buf=-8 | LLR_new_shifted=-14 | LLR_new_sat=-14
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-6 | V2C=-10 | V2C_shifted=-10
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-8 | V2C_shifted_buf=-10 | LLR_new_shifted=-18 | LLR_new_sat=-16
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-8 | V2C=-8 | V2C_shifted=-8
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-6 | V2C_shifted_buf=-8 | LLR_new_shifted=-14 | LLR_new_sat=-14
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-6 | V2C=-10 | V2C_shifted=-10
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-8 | V2C_shifted_buf=-10 | LLR_new_shifted=-18 | LLR_new_sat=-16
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-8 | V2C=-8 | V2C_shifted=-8
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-6 | V2C_shifted_buf=-8 | LLR_new_shifted=-14 | LLR_new_sat=-14
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-6 | V2C=-10 | V2C_shifted=-10
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-8 | V2C_shifted_buf=-10 | LLR_new_shifted=-18 | LLR_new_sat=-16
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-8 | V2C=-8 | V2C_shifted=-8
FPGA LAYER_WRITE | col=1 | C2V_new_shifted=-6 | V2C_shifted_buf=-8 | LLR_new_shifted=-14 | LLR_new_sat=-14
FPGA LAYER_READ | col=1 | LLR_in=-16 | C2V_old=-6 | V2C=-10 | V2C_shifted=-10
